Participant,Trial,Correct,Age,Language,AgentType,SentenceType
KKMAX065,Sem,1,54.41,Korean,SameAgent,DroppedSubject
KKMAX065,Blick,1,54.41,Korean,SameAgent,DroppedSubject
KKMAX065,Larp,1,54.41,Korean,SameAgent,DroppedSubject
KKMAX068,Sem,0,61.47,Korean,SameAgent,OvertSubject
KKMAX068,Blick,1,61.47,Korean,SameAgent,OvertSubject
KKMAX068,Larp,1,61.47,Korean,SameAgent,OvertSubject
KKMAX069,Sem,1,48.26,Korean,SameAgent,OvertSubject
KKMAX069,Blick,1,48.26,Korean,SameAgent,OvertSubject
KKMAX069,Larp,1,48.26,Korean,SameAgent,OvertSubject
KKMAX070,Sem,1,52.76,Korean,DifferentAgent,OvertSubject
KKMAX070,Blick,0,52.76,Korean,DifferentAgent,OvertSubject
KKMAX070,Larp,1,52.76,Korean,DifferentAgent,OvertSubject
KKMAX072,Sem,1,62.19,Korean,SameAgent,OvertSubject
KKMAX072,Blick,0,62.19,Korean,SameAgent,OvertSubject
KKMAX072,Larp,1,62.19,Korean,SameAgent,OvertSubject
KKMAX073,Sem,1,56.51,Korean,DifferentAgent,OvertSubject
KKMAX073,Blick,1,56.51,Korean,DifferentAgent,OvertSubject
KKMAX073,Larp,1,56.51,Korean,DifferentAgent,OvertSubject
KKMAX074,Sem,1,56.18,Korean,SameAgent,OvertSubject
KKMAX074,Blick,1,56.18,Korean,SameAgent,OvertSubject
KKMAX074,Larp,1,56.18,Korean,SameAgent,OvertSubject
KKMAX075,Sem,1,57.89,Korean,DifferentAgent,DroppedSubject
KKMAX075,Blick,0,57.89,Korean,DifferentAgent,DroppedSubject
KKMAX075,Larp,0,57.89,Korean,DifferentAgent,DroppedSubject
KKMAX076,Sem,1,58.71,Korean,SameAgent,OvertSubject
KKMAX076,Blick,0,58.71,Korean,SameAgent,OvertSubject
KKMAX076,Larp,1,58.71,Korean,SameAgent,OvertSubject
KKMAX077,Blick,0,65.91,Korean,DifferentAgent,OvertSubject
KKMAX077,Larp,0,65.91,Korean,DifferentAgent,OvertSubject
KKMAX078,Sem,1,48.82,Korean,SameAgent,OvertSubject
KKMAX078,Blick,1,48.82,Korean,SameAgent,OvertSubject
KKMAX078,Larp,0,48.82,Korean,SameAgent,OvertSubject
KKMAX079,Sem,1,48.3,Korean,DifferentAgent,DroppedSubject
KKMAX079,Blick,0,48.3,Korean,DifferentAgent,DroppedSubject
KKMAX079,Larp,1,48.3,Korean,DifferentAgent,DroppedSubject
KKMAX080,Sem,0,55.03,Korean,SameAgent,DroppedSubject
KKMAX080,Blick,0,55.03,Korean,SameAgent,DroppedSubject
KKMAX080,Larp,0,55.03,Korean,SameAgent,DroppedSubject
EKMAX002,Sem,1,36.9,English,DifferentAgent,NA
EKMAX002,Blick,1,36.9,English,DifferentAgent,NA
EKMAX002,Larp,0,36.9,English,DifferentAgent,NA
EKMAX003,Sem,0,46.7,English,DifferentAgent,NA
EKMAX003,Blick,1,46.7,English,DifferentAgent,NA
EKMAX003,Larp,1,46.7,English,DifferentAgent,NA
EKMAX004,Sem,1,46,English,DifferentAgent,NA
EKMAX004,Blick,1,46,English,DifferentAgent,NA
EKMAX004,Larp,1,46,English,DifferentAgent,NA
EKMAX005,Sem,1,52.4,English,DifferentAgent,NA
EKMAX005,Blick,0,52.4,English,DifferentAgent,NA
EKMAX005,Larp,1,52.4,English,DifferentAgent,NA
EKMAX006,Sem,1,56.5,English,DifferentAgent,NA
EKMAX006,Blick,1,56.5,English,DifferentAgent,NA
EKMAX006,Larp,1,56.5,English,DifferentAgent,NA
EKMAX007,Sem,1,53.6,English,DifferentAgent,NA
EKMAX007,Blick,1,53.6,English,DifferentAgent,NA
EKMAX007,Larp,1,53.6,English,DifferentAgent,NA
EKMAX008,Sem,0,46.6,English,DifferentAgent,NA
EKMAX008,Blick,1,46.6,English,DifferentAgent,NA
EKMAX008,Larp,1,46.6,English,DifferentAgent,NA
EKMAX009,Sem,0,50.3,English,SameAgent,NA
EKMAX009,Blick,1,50.3,English,SameAgent,NA
EKMAX009,Larp,1,50.3,English,SameAgent,NA
EKMAX010,Sem,0,37.1,English,DifferentAgent,NA
EKMAX010,Blick,1,37.1,English,DifferentAgent,NA
EKMAX010,Larp,1,37.1,English,DifferentAgent,NA
EKMAX011,Sem,1,48.5,English,SameAgent,NA
EKMAX011,Blick,1,48.5,English,SameAgent,NA
EKMAX011,Larp,1,48.5,English,SameAgent,NA
EKMAX012,Sem,1,47.1,English,SameAgent,NA
EKMAX012,Blick,1,47.1,English,SameAgent,NA
EKMAX012,Larp,1,47.1,English,SameAgent,NA
EKMAX013,Sem,0,54.5,English,SameAgent,NA
EKMAX013,Blick,1,54.5,English,SameAgent,NA
EKMAX013,Larp,0,54.5,English,SameAgent,NA
EKMAX014,Sem,0,55.5,English,SameAgent,NA
EKMAX014,Blick,0,55.5,English,SameAgent,NA
EKMAX014,Larp,1,55.5,English,SameAgent,NA
EKMAX015,Sem,0,51.2,English,SameAgent,NA
EKMAX015,Blick,1,51.2,English,SameAgent,NA
EKMAX015,Larp,1,51.2,English,SameAgent,NA
EKMAX016,Sem,1,48.6,English,SameAgent,NA
EKMAX016,Blick,1,48.6,English,SameAgent,NA
EKMAX016,Larp,1,48.6,English,SameAgent,NA
EKMAX017,Sem,1,42.2,English,SameAgent,NA
EKMAX017,Blick,1,42.2,English,SameAgent,NA
EKMAX017,Larp,1,42.2,English,SameAgent,NA
EKMAX018,Sem,1,38.2,English,DifferentAgent,NA
EKMAX018,Blick,1,38.2,English,DifferentAgent,NA
EKMAX018,Larp,0,38.2,English,DifferentAgent,NA
EKMAX019,Sem,1,58.8,English,DifferentAgent,NA
EKMAX019,Blick,1,58.8,English,DifferentAgent,NA
EKMAX019,Larp,1,58.8,English,DifferentAgent,NA
EKMAX020,Sem,0,37.9,English,SameAgent,NA
