Participant,Trial,Correct,Age,Language,AgentType,SentenceType,Experiment
KKMAX043,Larp,0,56.77,Korean,SameAgent,DroppedSubject,experiment2
KKMAX044,Sem,0,48.23,Korean,SameAgent,DroppedSubject,experiment2
KKMAX044,Blick,1,48.23,Korean,SameAgent,DroppedSubject,experiment2
KKMAX044,Larp,0,48.23,Korean,SameAgent,DroppedSubject,experiment2
KKMAX046,Sem,1,69.85,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX046,Blick,0,69.85,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX046,Larp,1,69.85,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX047,Sem,0,51.71,Korean,SameAgent,DroppedSubject,experiment2
KKMAX047,Blick,1,51.71,Korean,SameAgent,DroppedSubject,experiment2
KKMAX047,Larp,1,51.71,Korean,SameAgent,DroppedSubject,experiment2
KKMAX050,Sem,1,64,Korean,SameAgent,DroppedSubject,experiment2
KKMAX050,Blick,1,64,Korean,SameAgent,DroppedSubject,experiment2
KKMAX050,Larp,0,64,Korean,SameAgent,DroppedSubject,experiment2
KKMAX051,Sem,1,55.85,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX051,Blick,0,55.85,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX051,Larp,1,55.85,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX053,Sem,1,54.05,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX053,Blick,1,54.05,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX053,Larp,1,54.05,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX054,Sem,1,69.95,Korean,SameAgent,DroppedSubject,experiment2
KKMAX054,Blick,0,69.95,Korean,SameAgent,DroppedSubject,experiment2
KKMAX054,Larp,1,69.95,Korean,SameAgent,DroppedSubject,experiment2
KKMAX056,Sem,1,69.72,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX056,Blick,1,69.72,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX056,Larp,1,69.72,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX057,Sem,1,70.05,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX057,Blick,1,70.05,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX057,Larp,1,70.05,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX058,Sem,1,64.3,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX058,Larp,1,64.3,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX060,Blick,0,70.93,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX060,Larp,1,70.93,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX061,Sem,1,49.35,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX061,Blick,1,49.35,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX061,Larp,1,49.35,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX064,Sem,1,66.17,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX064,Blick,1,66.17,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX064,Larp,1,66.17,Korean,DifferentAgent,DroppedSubject,experiment2
KKMAX065,Sem,1,54.41,Korean,SameAgent,DroppedSubject,experiment2
KKMAX065,Blick,1,54.41,Korean,SameAgent,DroppedSubject,experiment2
KKMAX065,Larp,1,54.41,Korean,SameAgent,DroppedSubject,experiment2
KKMAX068,Sem,0,61.47,Korean,SameAgent,OvertSubject,experiment1
KKMAX068,Blick,1,61.47,Korean,SameAgent,OvertSubject,experiment1
KKMAX068,Larp,1,61.47,Korean,SameAgent,OvertSubject,experiment1
KKMAX069,Sem,1,48.26,Korean,SameAgent,OvertSubject,experiment1
KKMAX069,Blick,1,48.26,Korean,SameAgent,OvertSubject,experiment1
KKMAX069,Larp,1,48.26,Korean,SameAgent,OvertSubject,experiment1
KKMAX070,Sem,1,52.76,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX070,Blick,0,52.76,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX070,Larp,1,52.76,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX072,Sem,1,62.19,Korean,SameAgent,OvertSubject,experiment1
KKMAX072,Blick,0,62.19,Korean,SameAgent,OvertSubject,experiment1
KKMAX072,Larp,1,62.19,Korean,SameAgent,OvertSubject,experiment1
KKMAX073,Sem,1,56.51,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX073,Blick,1,56.51,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX073,Larp,1,56.51,Korean,DifferentAgent,OvertSubject,experiment1
KKMAX074,Sem,1,56.18,Korean,SameAgent,OvertSubject,experiment1
